Year,Jan%,Feb%,Mar%,Apr%,May%,Jun%,Jul%,Aug%,Sep%,Oct%,Nov%,Dec%,Ann Avg%,Jan_LF,Feb_LF,Mar_LF,Apr_LF,May_LF,Jun_LF,Jul_LF,Aug_LF,Sep_LF,Oct_LF,Nov_LF,Dec_LF,Ann Avg_LF,Jan_E,Feb_E,Mar_E,Apr_E,May_E,Jun_E,Jul_E,Aug_E,Sep_E,Oct_E,Nov_E,Dec_E,Ann Avg_E,Jan_UN,Feb_UN,Mar_UN,Apr_UN,May_UN,Jun_UN,Jul_UN,Aug_UN,Sep_UN,Oct_UN,Nov_UN,Dec_UN,Ann Avg_UN
2009,8.30%,9%,9.10%,8.90%,9.40%,10.10%,10.60%,10.70%,10.70%,11%,10.60%,10.70%,9.90%,1115300,1121700,1116900,1114200,1111300,1119300,1137200,1131300,1119300,1122100,1117600,1111700,1119800,1022200,1020800,1015600,1014900,1006900,1006600,1016100,1010200,999600,998600,999000,993200,1008600,93100,100800,101300,99300,104400,112800,121000,121100,119700,123600,118600,118500,111200
2008,6%,5.70%,5.40%,4.80%,5.30%,5.50%,6.20%,6.50%,6.30%,6.60%,6.70%,7.20%,6%,1099700,1100300,1099200,1095600,1094800,1100400,1116000,1114800,1110000,1117000,1113500,1113400,1106200,1034000,1037500,1040200,1042700,1036900,1039500,1046600,1042500,1040500,1042900,1038900,1032700,1039600,65700,62800,59000,52900,57900,60900,69400,72200,69500,74200,74600,80700,66600
2007,5.60%,5.40%,4.90%,4.90%,5.10%,5.50%,6.30%,5.90%,5.50%,5.50%,5.30%,5.50%,5.40%,1081400,1083800,1081500,1076200,1075600,1084200,1100200,1089900,1086500,1091000,1093300,1093300,1086400,1020900,1025600,1028800,1023300,1020800,1024500,1031100,1026000,1027200,1030800,1035400,1033200,1027300,60600,58200,52700,52900,54800,59700,69100,63900,59400,60200,57900,60100,59100
2006,5.90%,6.10%,5.60%,5.40%,5.20%,5.30%,6%,5.40%,4.90%,4.70%,4.90%,4.80%,5.40%,1068500,1075900,1073400,1070300,1066700,1070500,1085000,1077200,1068000,1074400,1076900,1078000,1073700,1005700,1010200,1013100,1012100,1010900,1014200,1019800,1018600,1016200,1023400,1024000,1026800,1016200,62800,65700,60300,58200,55800,56300,65100,58700,51800,50900,53000,51300,57500
2005,6.70%,6.80%,6%,5.90%,5.80%,5.90%,6.40%,6%,6.50%,6.40%,6.60%,5.80%,6.20%,1062100,1068300,1062900,1064500,1061800,1063600,1080000,1076000,1075600,1079500,1079400,1072800,1070500,991300,995900,998600,1001600,999800,1001100,1010400,1010900,1006000,1010300,1008100,1010100,1003700,70800,72400,64300,62900,62000,62600,69600,65100,69600,69100,71300,62600,66800
2004,9.30%,8.70%,8.60%,7.80%,7.40%,7.80%,8%,7.30%,6.90%,6.90%,6.60%,6.50%,7.60%,1041900,1041600,1049900,1048800,1047300,1058600,1076600,1068500,1060800,1066900,1065500,1065900,1057700,945400,950500,959700,967100,969900,976500,990700,990800,987200,993700,995300,996300,976900,96400,91100,90200,81700,77400,82200,85900,77700,73700,73200,70200,69600,80800
2003,9.90%,9.60%,9%,8.80%,8.70%,9.10%,9.30%,9.10%,9%,9.10%,8.90%,8.40%,9.10%,1052100,1053000,1045300,1041100,1033600,1039100,1044900,1039800,1034800,1041500,1039800,1033700,1041600,948100,952100,950800,949300,943800,944100,947800,944700,941600,946500,947200,947300,946900,104000,100900,94500,91800,89900,95000,97100,95100,93200,95000,92600,86500,94600
2002,8.90%,8.80%,8.80%,8.50%,8.20%,8.30%,8.60%,8.50%,8.10%,8.70%,9.10%,9.20%,8.60%,1039800,1050100,1048700,1045000,1040600,1041500,1052200,1049700,1043600,1051800,1051200,1052300,1047200,947300,957600,956800,956000,955500,955200,961200,960300,959300,960200,955200,955000,956600,92500,92500,91900,88900,85100,86300,91000,89500,84300,91700,96000,97200,90600
2001,6.10%,6%,5.80%,5.50%,5.20%,5.60%,6%,6.70%,6.80%,7.60%,7.90%,8.10%,6.40%,1044000,1046900,1046000,1036600,1028100,1030900,1047500,1045200,1041700,1038100,1038900,1041300,1040400,980100,984000,985600,979300,974200,973500,984200,974900,971400,959400,957300,957200,973400,63900,62900,60400,57400,53900,57300,63300,70300,70400,78700,81600,84100,67000
2000,7.10%,7%,7%,6.30%,6.30%,6%,6.60%,6.50%,5.90%,6%,5.90%,5.50%,6.30%,1037200,1043800,1046400,1041900,1037900,1039500,1049500,1045000,1037800,1043900,1043900,1045600,1042700,963100,970500,973500,976800,972800,977000,980300,976900,976900,981500,982200,987700,976600,74100,73400,72900,65100,65100,62500,69200,68100,60800,62400,61700,57900,66100
1999,9.10%,9.10%,8.20%,7.90%,7.40%,7.80%,8.50%,7.90%,7.60%,7.40%,7%,6.80%,7.90%,1008300,1014200,1006500,1001500,995500,1004600,1023800,1015800,1008300,1012600,1011400,1013300,1009600,916700,921900,924500,922000,921700,926100,936700,936000,931300,937800,940600,944600,930000,91500,92300,82100,79500,73700,78500,87100,79800,77000,74800,70800,68700,79700
1998,10.60%,10.50%,10.40%,9.30%,8.70%,8.80%,9.20%,8.90%,8.80%,9.20%,8.80%,8.60%,9.30%,996100,1002300,1005900,993900,986500,990700,1007800,1003600,999900,1008200,1006900,1008300,1000800,890100,897300,901200,901400,900700,903800,915000,913800,911600,915600,918400,921900,907600,106000,105000,104800,92500,85800,86800,92700,89800,88300,92600,88500,86300,93300
1997,11.90%,11.80%,11.70%,11.20%,10.70%,10.90%,11.20%,10.70%,10.20%,10%,9.50%,9.40%,10.80%,980100,986200,991800,985500,981300,987400,1004200,998100,988900,992300,989500,990800,989700,863400,869500,876100,875600,876000,879400,891900,891600,888100,892800,895500,897700,883100,116600,116700,115700,109900,105300,108000,112300,106500,100800,99500,94000,93100,106500
1996,10.20%,10.10%,10.40%,10.30%,10%,9.50%,10.40%,9.60%,9.30%,9.70%,10.20%,10.50%,10%,933400,942600,949300,947300,944100,943700,963800,954200,948700,960500,965600,970100,952000,838100,847200,850800,849300,850100,854400,863800,862800,860700,867100,867300,868300,856700,95300,95400,98500,98000,94000,89400,100000,91400,88000,93400,98200,101800,95300
1995,9.40%,9.20%,9.20%,9.30%,9%,8.80%,9.50%,9.40%,9.10%,9.20%,9.10%,9.20%,9.20%,924700,930300,932400,931300,924500,925200,945100,940500,932400,938600,937000,937200,933300,838200,844600,846500,844400,841200,844100,854900,852300,847900,852400,852200,851400,847500,86500,85700,85800,86900,83200,81200,90300,88200,84600,86200,84800,85800,85800
1994,12%,11.40%,11.10%,10.50%,9.70%,9.80%,10.10%,9.60%,8.80%,8.90%,8.40%,8%,9.90%,940600,941800,940000,932500,924400,926100,937300,932000,917700,925400,922100,918700,929900,828000,834200,835200,834600,834500,835000,842900,842500,837300,843300,844400,844800,838000,112600,107500,104800,97900,89900,91200,94500,89500,80500,82100,77700,73900,91800
1993,13.60%,13.30%,12.10%,11.40%,11.20%,11%,11.30%,10.90%,10.70%,11.20%,10.90%,11%,11.60%,950700,954200,944500,934400,931800,935400,952400,945100,933000,942400,939600,942200,942100,821100,827400,829900,827500,827700,832100,844300,841700,833600,836400,837200,838600,833100,129500,126800,114600,106800,104100,103200,108000,103300,99400,106000,102400,103600,109000
1992,11.70%,12.10%,11.60%,11.20%,11.90%,12.60%,12.90%,12.50%,12.30%,12.30%,12.20%,12.40%,12.10%,939100,945600,942800,937100,940300,952100,966700,958500,946900,947500,945200,948600,947500,829600,831100,833700,832600,828600,831700,841800,838300,830500,831000,830300,831000,832500,109500,114500,109200,104500,111700,120400,124900,120200,116400,116500,114900,117600,115000
1991,9.10%,9.30%,9.30%,9.10%,9.70%,9.50%,9.90%,9.70%,9.40%,9.80%,9.60%,10.30%,9.60%,938900,943000,943400,938800,936500,938400,947100,939400,931900,936800,931500,934900,938400,853300,855200,855300,853000,845800,849000,853700,848400,844000,845300,842200,838500,848600,85500,87800,88100,85800,90700,89400,93400,91000,87900,91600,89200,96500,89700
1990,8.30%,8.30%,7.80%,7.50%,7.40%,6.90%,7.80%,7.60%,7.90%,8.30%,8%,8%,7.80%,963900,967200,963200,956700,955400,953100,968200,962900,956200,959500,951600,949500,958900,884000,886700,888500,884500,884800,887300,893100,889500,880500,879800,875500,873600,884000,80000,80500,74700,72200,70500,65800,75100,73400,75700,79800,76000,75900,75000
