Year,Jan%,Feb%,Mar%,Apr%,May%,Jun%,Jul%,Aug%,Sep%,Oct%,Nov%,Dec%,Ann Avg%,Jan_LF,Feb_LF,Mar_LF,Apr_LF,May_LF,Jun_LF,Jul_LF,Aug_LF,Sep_LF,Oct_LF,Nov_LF,Dec_LF,Ann Avg_LF,Jan_E,Feb_E,Mar_E,Apr_E,May_E,Jun_E,Jul_E,Aug_E,Sep_E,Oct_E,Nov_E,Dec_E,Ann Avg_E,Jan_UN,Feb_UN,Mar_UN,Apr_UN,May_UN,Jun_UN,Jul_UN,Aug_UN,Sep_UN,Oct_UN,Nov_UN,Dec_UN,Ann Avg_UN
2003,11.40%,11.10%,10.50%,10.10%,9.90%,10.60%,10.70%,10.60%,10.60%,10.80%,10.80%,10.20%,10.60%,502900,503300,499400,496200,492000,496300,498400,496300,494800,498300,498700,495600,497700,445500,447300,446700,446000,443400,443600,445300,443900,442400,444700,445000,445000,444900,57400,56000,52700,50200,48600,52700,53100,52500,52400,53600,53700,50600,52800
2002,9.80%,9.70%,9.70%,9.50%,9.20%,9.50%,9.70%,9.50%,9.20%,10%,10.50%,10.60%,9.70%,492200,497100,496900,495100,493200,494700,499300,497400,495500,500200,500500,500700,496900,444200,448900,448600,448200,448000,447800,450600,450200,449700,450200,447800,447800,448500,48100,48200,48400,46900,45200,46800,48600,47200,45700,50100,52700,53000,48400
2001,7.10%,7%,6.80%,6.20%,6%,6.30%,6.80%,7.50%,7.60%,8.40%,8.70%,8.90%,7.30%,491000,492400,492100,486000,482300,483800,491600,490500,489200,487700,488100,488900,488600,456200,458100,458800,455900,453500,453200,458200,453800,452200,446600,445600,445600,453100,34800,34400,33300,30100,28800,30700,33500,36700,37000,41100,42500,43300,35500
2000,7.80%,7.80%,7.80%,6.90%,7%,6.60%,7.30%,7.10%,6.80%,6.90%,6.90%,6.40%,7.10%,483600,487300,488600,485700,484000,484000,489300,487000,485000,488100,488200,488600,486600,445800,449200,450600,452100,450300,452200,453700,452200,452200,454300,454600,457200,452000,37800,38100,38000,33600,33700,31800,35600,34800,32900,33800,33600,31400,34600
1999,9.20%,9.20%,8.30%,7.90%,7.60%,8.20%,8.70%,8.30%,8.10%,8%,7.50%,6.90%,8.20%,483100,485900,482200,479200,477100,482500,490800,488100,485000,487900,486600,485300,484500,438600,441100,442300,441100,441000,443100,448200,447900,445600,448700,450100,451900,445000,44500,44800,39800,38100,36100,39300,42700,40300,39400,39300,36600,33300,39500
1998,11.20%,11.10%,10.90%,9.30%,9.40%,9.60%,10%,9.50%,9.70%,10%,9.50%,8.90%,9.90%,478700,482400,483200,475000,475100,477900,485600,482600,482200,485800,485000,483300,481400,425300,428700,430600,430700,430300,431800,437200,436600,435500,437400,438800,440500,433600,53400,53700,52700,44300,44800,46000,48400,46000,46700,48400,46200,42800,47800
1997,12.60%,12.80%,12.90%,11.90%,11.80%,12.10%,12.10%,11.40%,11.30%,11.10%,10.50%,10.10%,11.70%,472500,476600,480800,475300,475000,478400,484900,481300,478400,480000,478100,477100,478200,412700,415700,418800,418600,418800,420400,426300,426200,424500,426800,428100,429100,422200,59700,60900,62000,56700,56200,58100,58600,55100,53800,53200,50000,48000,56000
1996,10.10%,10.20%,10.60%,10.10%,10.50%,10%,10.80%,10.20%,10.10%,11.10%,11.60%,11.50%,10.60%,447800,452900,456900,453500,455800,455600,464900,461500,459600,468200,471200,470700,459900,402300,406700,408400,407700,408100,410100,414700,414200,413200,416300,416400,416800,411200,45400,46200,48500,45800,47700,45400,50200,47300,46500,51900,54900,53900,48600
1995,9.60%,9.50%,9.60%,9.70%,9.40%,9.40%,10%,9.80%,9.60%,9.60%,9.50%,9.30%,9.60%,442000,444900,446400,445600,442700,443900,452700,450400,447000,449700,448800,447700,446800,399600,402600,403500,402500,401000,402300,407500,406300,404200,406300,406200,405800,404000,42500,42300,42900,43100,41700,41500,45200,44100,42800,43400,42500,41900,42800
1994,11.90%,11.60%,11.20%,10.50%,9.70%,9.90%,10.40%,10%,9.40%,9.70%,9.10%,8.30%,10.20%,449600,451400,450000,446100,442100,443200,450000,447500,441800,446500,444100,440800,446100,396000,398900,399400,399100,399100,399300,403100,402900,400400,403300,403800,404000,400800,53600,52400,50600,47000,43100,44000,47000,44600,41400,43200,40200,36800,45300
1993,14.20%,13.50%,12.70%,11.80%,11.90%,12%,12.60%,11.70%,11.40%,12.10%,11.50%,11%,12.20%,456500,456200,453100,447500,447800,450600,460500,454600,448500,453800,451200,449100,452400,391500,394500,395700,394500,394600,396700,402500,401300,397400,398800,399100,399800,397200,65000,61700,57500,52900,53200,53900,57900,53300,51000,55100,52100,49300,55200
1992,12.10%,12.60%,12.20%,11.60%,12.50%,13.50%,14%,14.10%,13.80%,13.80%,13.90%,13.40%,13.10%,449100,452400,451900,448300,450400,457700,465900,464100,458600,458800,458700,456500,456000,394700,395400,396600,396100,394200,395700,400500,398900,395100,395400,395100,395400,396100,54400,57000,55200,52100,56100,62000,65400,65200,63500,63400,63600,61100,59900
1991,9.20%,9.50%,9.90%,9.60%,10.40%,10.40%,10.70%,10.80%,10.50%,10.90%,11.80%,11.30%,10.40%,448000,450400,452400,449500,450000,451800,455700,453100,449200,452100,455000,450600,451500,406600,407500,407600,406500,403000,404600,406800,404300,402200,402800,401300,399500,404400,41400,42900,44800,43000,46900,47200,48900,48800,47000,49300,53700,51000,47100
1990,8.40%,8.70%,8.30%,7.80%,8.10%,7.80%,8.50%,8.50%,8.70%,8.90%,9.20%,8.40%,8.50%,459500,462400,461300,456600,458200,458200,464600,462800,459200,459900,459000,453800,459600,420700,422000,422900,421000,421100,422300,425100,423400,419100,418700,416700,415800,420700,38700,40300,38400,35600,37100,35800,39500,39500,40100,41100,42200,38000,38900
